Test,Animal,Sex,Treatment,Day,Trial,Duration,Distance,Mean speed
930,24,1,0,8,2,4.1,0.691,0.171
931,24,1,0,8,3,27.2,3.415,0.125
932,24,1,0,8,4,3.9,0.574,0.148
933,25,1,0,8,1,60,2.54,0.042
934,25,1,0,8,2,60,3.123,0.052
935,25,1,0,8,3,30.5,2.932,0.096
936,25,1,0,8,4,60,5.262,0.088
937,26,1,1,8,1,20.1,2.605,0.13
938,26,1,1,8,2,10.3,1.54,0.15
939,26,1,1,8,3,8.6,1.105,0.129
940,26,1,1,8,4,7.9,0.999,0.127
941,27,1,1,8,1,10.5,1.019,0.097
942,27,1,1,8,2,25.4,3.019,0.119
943,27,1,1,8,3,17.1,2.006,0.117
944,27,1,1,8,4,13.6,1.614,0.119
945,28,1,1,8,1,60,2.282,0.038
946,28,1,1,8,2,60,2.161,0.036
947,28,1,1,8,3,60,1.602,0.027
948,28,1,1,8,4,60,2.003,0.033
949,29,1,1,8,1,60,7.156,0.119
950,29,1,1,8,2,4.5,0.716,0.159
951,29,1,1,8,3,17.6,1.628,0.093
952,29,1,1,8,4,28.4,2.866,0.101
953,30,1,1,8,1,21.8,2.254,0.103
954,30,1,1,8,2,7.8,0.963,0.124
955,30,1,1,8,3,13.2,1.943,0.147
956,30,1,1,8,4,20.4,2.945,0.144
957,31,1,1,8,1,47.4,3.595,0.076
958,31,1,1,8,2,6.4,0.87,0.137
959,31,1,1,8,3,3.6,0.709,0.2
960,31,1,1,8,4,9.3,1.203,0.129
961,32,1,0,8,1,25.2,2.83,0.112
962,32,1,0,8,2,18.9,1.645,0.087
963,32,1,0,8,3,8.6,1.053,0.122
964,32,1,0,8,4,8,1.019,0.127
965,33,1,0,8,1,3.8,0.548,0.144
966,33,1,0,8,2,19,2.196,0.116
967,33,1,0,8,3,4.6,0.556,0.12
968,33,1,0,8,4,3.5,0.626,0.179
